job_name,submit_time,origin,assigned,k,duration,latency_ms,carbon_g,dropped
j_054791,40898.6,France,France,4,20.3,0.0,0.11277777777779395,False
j_000016,40933.2,US_West,US_East,2,992.1,74.0,64.48649999999991,False
j_018269,41516.8,US_Central,US_West,5,4.1,39.0,0.2368889116665826,False
j_073031,41835.0,Germany,US_East,4,23.7,95.0,1.5404999999998108,False
j_000002,42215.0,US_West,US_East,4,66.0,74.0,4.29,False
j_054755,42271.6,France,US_East,4,14.2,90.0,0.9229999999998109,False
j_036510,42281.9,US_East,US_East,3,336.9,0.0,21.898500000000094,False
j_054768,42633.3,France,France,4,11.5,0.0,0.06388888888888888,False
j_073004,43498.9,Germany,US_West,5,5.5,153.0,0.3223611111111111,False
j_036545,43935.5,US_East,France,5,6.9,90.0,0.03641666666667435,False
j_073036,43977.1,Germany,US_West,5,4.6,153.0,0.2696111111110258,False
j_054789,43990.2,France,US_West,5,7.7,146.0,0.451305555555385,False
j_000000,44104.9,US_West,France,1,12590.1,146.0,68.94497222222222,False
j_000008,44651.5,US_West,France,4,43.9,146.0,0.2316944444444521,False
j_036536,44916.9,US_East,US_West,1,7775.9,74.0,466.39104051555563,False
j_127786,44943.9,Japan,France,1,2131.0,228.0,11.246944444444445,False
j_091275,45068.8,Korea,France,5,4.4,238.0,0.023222222222229902,False
j_073018,45114.1,Germany,US_East,5,2.3,95.0,0.15013890166685664,False
j_054760,45147.1,France,US_West,1,1348.4,146.0,79.03122222222231,False
j_000042,45305.6,US_West,US_East,5,2.3,74.0,0.15013890166685664,False
j_073047,45482.9,Germany,US_East,5,3.4,95.0,0.22194446333342835,False
j_036506,45808.2,US_East,France,4,36.7,90.0,0.19369444444442907,False
j_073048,45980.7,Germany,US_West,1,3608.9,153.0,219.27052777777786,False
j_073024,46515.0,Germany,US_West,5,6.1,153.0,0.3575277777776925,False
j_018273,47076.0,US_Central,France,5,6.5,113.0,0.034305555555555554,False
j_091292,47570.9,Korea,US_East,1,2714.2,193.0,177.9308888888887,False
